ville,région,département
Caen,28,14
Nantes,52,44
Paris,11,75
Lyon,84,69
Saint-Étienne,84,42
Toulouse,76,31
Rennes,53,35
Brest,53,29
La Rochelle,75,17
Orléans,24,45
Avignon,93,84

