area,Code SIREN / postal,Type de territoire,Région,AUT-Date de début,AUT- Date de fin,Ville centre de référence,Image,classement_1,city_1,classement_2,city_2,classement_3,city_3,classement_4,city_4,classement_5,city_5,arrêt_prec,arrêt,durée_prec,durée,vitesse_prec,vitesse,distance_semaine_prec,distance_semaine,distance_weekend_prec,distance_weekend,distance_prec,distance,co2_prec,co2,co2_1000_hab,co2_1000_hab_prec,Taux de confiance,Colonne1,EST - Indice de confiance ,Colonne2,EVOLUTION (RANG) ,Habitants,Classe d'habitants
Communauté urbaine de Dunkerque,245900428,CU,32 - Hauts-de-France,09/21/2021,12/20/2021,Dunkerque,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Dunkerque_Town_Hall.jpg/1024px-Dunkerque_Town_Hall.jpg,Place du Minck,Dunkerque,Rue du Leughenaer,Dunkerque,Quai des Hollandais,Dunkerque,Quai de l'Amiral Ronarc'h,Dunkerque,Place de la Victoire,Dunkerque,42,39.5,23.73,33.0,14.14,14.98,5.48,8.46,9.16,13.12,6.18,9.67,1212.94,1982.96,6.19109112532348,11.4276964224646,C,2,D,2,0,195917,01_entre 100 000 hab et 200 000 hab
Dijon Métropole,242100410,METRO,27 - Bourgogne-Franche-Comté,09/21/2021,12/20/2021,Dijon,https://upload.wikimedia.org/wikipedia/commons/2/2c/Panoramique_palais_duc_de_Bourgogne.jpg,Place Bossuet,Dijon,Rue Monge,Dijon,Boulevard de la Trémouille,Dijon,Place de la République,Dijon,Rue Bossuet,Dijon,47.4,44.1220637317075,19.84,24.6,14.08,14.61,4.74,5.97,6.45,12.03,5.05,6.90,1303.63,4957.10,5.01396153846154,12.2282307692308,C,3,B,4,-1,260000,02_Entre 200 000 hab et 500 000 hab
Est Ensemble,200057875,EPT,11 - Île-de-France,09/21/2021,12/20/2021,Romainville,https://www.est-ensemble.fr/sites/default/files/_mg_8640_anthony_voisin.jpg,Place Jacques Duclos,Montreuil,Boulevard Chanzy,Montreuil,Chemin de Halage,Bobigny,RER-V B2,Pantin,Quai de l'Ourcq,Pantin,43.2,42.1249141334013,29.5,30.4,14.7,14.92,7.65,7.78,7.2,8.32,7.58,7.89,39478.17,21066.11,92.5872149609863,93.8114257168923,A,4,A,5,-1,426389,02_Entre 200 000 hab et 500 000 hab
Grand Annecy,200066793,CA,84 - Auvergne-Rhône-Alpes,09/21/2021,12/20/2021,Annecy,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Annecy%2C_France_%2837635411615%29.jpg/2560px-Annecy%2C_France_%2837635411615%29.jpg,Avenue de Genève,Annecy,Rue Carnot,Annecy,Avenue d'Albigny,Annecy,Rue de la Gare,Annecy,Route de la Roche,Annecy,37.8,31.2,21.91,29.4,15.41,16.75,5.16,8.11,10,13.14,6.19,9.13,1129.55,2814.61,5.54287873434617,15.9264220939819,B,2,C,3,-1,203784,02_Entre 200 000 hab et 500 000 hab
Grand Avignon,248400251,CA,93 - Provence-Alpes-Côte d'Azur,09/21/2021,12/20/2021,Avignon,https://upload.wikimedia.org/wikipedia/commons/8/84/Pope_palace_Avignon_by_Rosier.jpg,Boulevard du Rhône,Avignon,Boulevard Saint-Michel,Avignon,ViaRhôna,Avignon,Boulevard Limbert,Avignon,Chemin des Canaux,Avignon,31.8,34.3,31.2,45.4,15.18,15.18,7.38,11.06,12.47,20.37,8.46,13.12,1746.7,2126.77,9.06035220582514,26.8749124672563,C,2,B,4,-2,192785,01_entre 100 000 hab et 200 000 hab
Grand Chambéry,200069110,CA,84 - Auvergne-Rhône-Alpes,09/21/2021,12/20/2021,Chambéry,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Chambéry_-_Place_St-Léger.JPG/1920px-Chambéry_-_Place_St-Léger.JPG,Quai du Jeu de Paume,Chambéry,Avenue Verte Nord de Chambéry,Chambéry,Les Balcons de Chambéry,La Motte-Servolex,Avenue du Grand Arietaz,Chambéry,Avenue du Grand Verger,Chambéry,35.4,37.4,22.09,28.9,15.94,16.04,5.72,7.25,11.49,14.19,6.65,8.38,1185.5,2894.37,8.76265799393894,45.8278512824303,C,2,B,4,-2,135290,01_entre 100 000 hab et 200 000 hab
Grand Montauban,248200099,CA,76 - Occitanie,09/21/2021,12/20/2021,Montauban,https://upload.wikimedia.org/wikipedia/commons/6/6e/Montauban_-_La_Place_Nationale.jpg,Route de Montauban,Montbeton,Rue du 19 Mars 1962,Montbeton,Chemin de Montagne,Montbeton,Rue Alfred Chanzy,Montauban,Rue Pierre Bonhoure,Montbeton,37.8,39.219021271285,23.74,34.2,15.25,15.34,5.3,8.32,11.23,12.62,6.41,9.39,1250,1027.54,16.0157851578516,40.5431273062731,B,3,B,4,-1,78048,00_Moins de 100 000 hab
Grand Paris Seine Ouest,200057974,EPT,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Peniches_sur_la_Seine_a_Boulogne_P1000112.JPG/1080px-Peniches_sur_la_Seine_a_Boulogne_P1000112.JPG,Boulevard Charles de Gaulle,Malakoff,La Coulée Verte,Malakoff,Pont d'Issy-les-Moulineaux,Issy-les-Moulineaux,Quai de la Bataille de Stalingrad,Issy-les-Moulineaux,Carrefour des Anciens Combattants,Paris,42.6,38.8538919208912,33.82,36.0,15.23,15.56,8.84,9.37,9.11,10.37,8.88,9.57,46252.14,27592.44,144.717477620673,139.990769798782,A,4,B,4,0,319603,02_Entre 200 000 hab et 500 000 hab
Grand Poitiers,200069854,CU,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,Poitiers,https://upload.wikimedia.org/wikipedia/commons/1/1d/Poitiers_panorama_01.jpg,Boulevard Solférino,Poitiers,Rue Henri Oudin,Poitiers,Place du Maréchal Leclerc,Poitiers,Viaduc Léon-Blum,Poitiers,Pont Neuf,Poitiers,37.2,37.3,25.63,26.5,15.79,15.73,7.66,7.00,11.33,9.35,8.37,7.44,2050.59,5223.91,21.3821401013535,79.6765448061563,B,3,B,4,-1,95902,01_entre 100 000 hab et 200 000 hab
Grenoble-Alpes Métropole,253800825,SMO,84 - Auvergne-Rhône-Alpes,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Panorama_pinelli.jpg/1280px-Panorama_pinelli.jpg,Cours Jean Jaurès,Grenoble,Rue de l'Amiral Courbet,Grenoble,Voie Verte de la digue du Drac,Seyssins,Rue Léo Lagrange,Grenoble,Voie Verte des Berges de l'Isère,Saint-Égrève,41.4,35.2,20.2,26.5,14.59,15.86,5.03,7.06,7.53,9.30,5.42,7.47,2335.16,2888.57,5.3929792147806,8.45217090069284,C,3,B,4,-1,433000,03_Plus de 500 000 hab
Région Île-de-France,237500079,REGION,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Peniches_sur_la_Seine_a_Boulogne_P1000112.JPG/1080px-Peniches_sur_la_Seine_a_Boulogne_P1000112.JPG,Boulevard de Sébastopol,Paris,Place de la Bastille,Paris,Rue de Rivoli,Paris,Place de la Concorde,Paris,Boulevard Beaumarchais,Paris,51,48.0,24.73,26.9,14.12,14.44,6.13,6.59,6.15,7.51,6.14,6.79,301838.9,183885.01,24.7206306306306,27.1097649467649,A,4,B,4,0,12210000,03_Plus de 500 000 hab
Le Grand Chalon,247100589,CA,27 - Bourgogne-Franche-Comté,09/21/2021,12/20/2021,Chalon-sur-Saone,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Chalon-hiver.jpg/1205px-Chalon-hiver.jpg,Rue du Capitaine Drillien,Saint-Rémy,Rue des Charreaux,Saint-Rémy,Voie Verte de Bourgogne du Sud,Châtenoy-le-Royal,Avenue Boucicaut,Chalon-sur-Saône,Avenue des Charreaux,Chalon-sur-Saône,40.2,43.4394320093833,52.4,38.9,14.88,15.26,12.12,8.83,17.2,18.19,14.08,10.91,415.78,1497.01,3.65138887669164,17.4347715357121,C,1,E,1,0,113869,01_entre 100 000 hab et 200 000 hab
Le Grand Périgueux,200040392,CA,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Le_Peribus_Ligne_D_septembre_2020.jpg,Chemin de Halage,Périgueux,Voie Verte des Berges de l'Isle,Périgueux,Rue de l'Isle,Trélissac,Rue des Jardins,Trélissac,Velo Route Voie Verte,Boulazac Isle Manoire,73.8,41.3,16.05,58.4,14.47,16.26,2.86,12.63,13.22,35.26,4,16.43,359.47,377.43,3.46453733242095,,E,2,0,,,103757,01_entre 100 000 hab et 200 000 hab
Le Havre Seine Métropole,200084952,CU,28 - Normandie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/LeHavre.jpg/1073px-LeHavre.jpg,Pont des Docks,Le Havre,Rue Jean Maurel,Le Havre,Rue Bellot,Le Havre,Quai Frissard,Le Havre,Quai de Southampton,Le Havre,49.2,47.4,22.59,31.7,13.99,14.57,4.83,7.36,7.96,11.64,5.57,8.52,1630.7,2194.34,5.92981818181818,10.6646181818182,C,3,C,3,0,275000,02_Entre 200 000 hab et 500 000 hab
Le Mans Métropole,247200132,CU,28 - Normandie,09/21/2021,12/20/2021,#N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Muraillelemans.jpg/1920px-Muraillelemans.jpg,Vélobuissonière,Le Mans,Boulevard Demorieux,Le Mans,Route d'Allonnes,Le Mans,Rue de Malpalu,Le Mans,Place Aristide Briand,Le Mans,37.2,34.4,22.06,26.3,15.45,15.87,5.5,6.90,8.2,10.31,6.07,7.69,1618.25,1727.40,8.1729797979798,13.1758585858586,D,3,C,3,0,198000,01_entre 100 000 hab et 200 000 hab
Limoges Métropole,248719312,CU,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,Limoges,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Cour_du_Temple_-_Limoges.JPG/1440px-Cour_du_Temple_-_Limoges.JPG,Ancien Chemin de l'Aiguille,Isle,Rue François Perrin,Limoges,Place des Carmes,Limoges,Avenue du Château,Isle,Avenue Baudin,Limoges,54.6,44.6,26.21,28.5,14.51,15.59,5.4,6.90,15.21,14.03,7.33,8.35,645.49,1136.77,3.11252019191359,5.70248571497456,D,2,C,3,-1,207385,02_Entre 200 000 hab et 500 000 hab
Lorient Agglomération,200042174,CA,53 - Bretagne,09/21/2021,12/20/2021,Lorient,https://upload.wikimedia.org/wikipedia/commons/f/f4/Lorient.jpg,Avenue Anatole France,Lorient,Avenue Jean Jaurès,Lorient,Rue de l'Assemblée Nationale,Lorient,Avenue du Faouëdic,Lorient,Avenue Étienne François de Choiseul,Lorient,31.8,30.9,23.01,29.9,15.65,16.64,6.94,7.95,5.8,10.77,6.7,8.62,1300.46,1306.30,6.37146202727001,14.454869259751,D,3,E,1,2,204107,02_Entre 200 000 hab et 500 000 hab
Métropole de Lyon,200046977,METRO,84 - Auvergne-Rhône-Alpes,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Vue_de_Lyon_depuis_la_passerelle_Raymond_Barre.JPG/1080px-Vue_de_Lyon_depuis_la_passerelle_Raymond_Barre.JPG,Quai Victor Augagneur,Lyon,ViaRhôna,Lyon,Voie Verte des Berges du Rhône,Lyon,ViaRhôna 9: Jons - Lyon,Lyon,Rue Garibaldi,Lyon,48.6,44.7,20.1,23.2,14.43,14.99,5.11,6.02,5.61,7.47,5.19,6.28,32210.31,27085.68,24.7771615384615,28.7208307692308,B,4,A,5,-1,1300000,03_Plus de 500 000 hab
Métropole du Grand Nancy,245400676,METRO,44 - Grand Est,09/21/2021,12/20/2021,Nancy,https://upload.wikimedia.org/wikipedia/commons/7/78/Panorama_place_stanislas_nancy_2005-06-15.jpg,Avenue Foch,Nancy,Rue Mazagran,Nancy,Rue Raymond Poincaré,Nancy,Boulevard Joffre,Nancy,Pont des Fusillés,Nancy,49.8,49.8,21.08,28.4,14.53,14.77,5.53,6.83,6.16,14.29,5.66,7.97,1654.2,2084.80,6.42579953463258,6.87473536598156,C,3,C,3,0,257431,02_Entre 200 000 hab et 500 000 hab
Métropole du Grand Paris,200054781,METRO,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Paris_Night.jpg/1280px-Paris_Night.jpg,Boulevard de Sébastopol,Paris,Place de la Bastille,Paris,Rue de Rivoli,Paris,Place de la Concorde,Paris,Boulevard Beaumarchais,Paris,52.2,49.2,24.69,26.0,14.04,14.32,6.15,6.45,5.84,6.72,6.1,6.51,279052.59,157631.57,39.4419060956366,39.721100750414,B,4,A,5,-1,7075028,03_Plus de 500 000 hab
Métropole Européenne de Lille,200093201,METRO,32 - Hauts-de-France,09/21/2021,12/20/2021,Lille,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Lille_gd_place.jpg/1280px-Lille_gd_place.jpg,Avenue Denis Cordonnier,Lille,Pont de la Citadelle,Lille,Rue du Pont de Tournai,Lille,Place de la Gare,Lille,Avenue Le Corbusier,Lille,36.6,37.7,24.26,28.8,15.82,15.42,6.56,7.24,8.45,11.74,6.92,8.12,12909.71,112963.33,10.9937893488141,18.5981368898033,A,4,B,4,0,1174273,03_Plus de 500 000 hab
Métropole Rouen Normandie,200023414,METRO,28 - Normandie,09/21/2021,12/20/2021,Rouen,https://upload.wikimedia.org/wikipedia/commons/9/91/Rouen_%2837903223574%29.jpg,Pont Corneille,Rouen,Avenue Champlain,Rouen,Rue de la République,Rouen,Rue d'Elbeuf,Rouen,Rue Saint-Sever,Rouen,43.2,42.0,27.44,27.4,15.27,15.25,6.83,6.71,9.58,10.40,7.43,7.44,3810.06,5190.18,34.5837758353076,56.4313010011891,B,4,B,4,0,110169,02_Entre 200 000 hab et 500 000 hab
Métropole Toulon-Provence-Méditerranée,248300543,METRO,93 - Provence-Alpes-Côte d'Azur,09/21/2021,12/20/2021,Toulon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Place-Ledeaut.jpg/1920px-Place-Ledeaut.jpg,Parcours cyclable du littoral varois,Toulon,Avenue Roger Decouvoux,Toulon,Rue Robert Guillemard,Toulon,Avenue de la République,Toulon,Avenue Amiral Aube,Toulon,38.4,40.8,24.89,29.1,15.97,15.46,6.76,7.95,8.43,8.89,7.12,8.15,3203.66,2672.90,7.13322556655489,7.65429129983657,C,3,B,4,-1,449118,02_Entre 200 000 hab et 500 000 hab
Metz,57463,VILLE,44 - Grand Est,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Metz_Cathédrale_vdm.jpg/1920px-Metz_Cathédrale_vdm.jpg,Avenue de l'Amphithéâtre,Metz,Avenue de Nancy,Metz,Avenue Ney,Metz,GR 5G Nord,Metz,Parvis des Droits de l'Homme,Metz,40.2,37.857173553236,18.82,32.7,14.74,14.47,4.76,7.09,6.93,14.09,5.25,8.69,670.24,1578.61,5.70455860824567,8.65761073094338,B,3,C,3,0,117492,01_entre 100 000 hab et 200 000 hab
Metz Métropole,200039865,METRO,44 - Grand Est,09/21/2021,12/20/2021,Metz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Metz_centre_ville.jpg/1920px-Metz_centre_ville.jpg,Avenue de l'Amphithéâtre,Metz,Avenue de Nancy,Metz,GR 5G Nord,Metz,Avenue Ney,Metz,Parvis des Droits de l'Homme,Metz,40.8,37.5,19.33,33.4,14.77,14.71,4.88,7.40,7,14.48,5.39,9.10,772.82,1964.48,6.57763932863514,10.3184046573384,B,3,C,3,0,117492,02_Entre 200 000 hab et 500 000 hab
Montpellier Méditerranée Métropole,243400017,VILLE,76 - Occitanie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/1/19/Tram_de_Montpellier_01.jpg,Avenue du Professeur Grasset,Montpellier,Place Marcel Godechot,Montpellier,Avenue Bouisson Bertrand,Montpellier,Quai du Verdanson,Montpellier,Place Émile Martin,Montpellier,36,32.9,21.48,25.6,15.02,15.59,5.28,6.38,8.8,10.92,5.71,7.11,12298.04,12988.06,25.5529883060863,31.8052427297434,B,3,B,4,-1,481276,02_Entre 200 000 hab et 500 000 hab
Montreuil,93048,VILLE,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/H%C3%B4tel_ville_Montreuil_Seine_St_Denis_15.jpg/1470px-H%C3%B4tel_ville_Montreuil_Seine_St_Denis_15.jpg,Place Jacques Duclos,Montreuil,Boulevard Chanzy,Montreuil,Rue Étienne Marcel,Montreuil,Rue de Lagny,Paris,Avenue du Professeur André Lemierre,Montreuil,45,44.1203814662614,28.44,28.2,14.41,14.77,7.31,7.26,6.36,6.84,7.15,7.17,18292.99,9946.60,171.457667469609,163.115632996223,A,4,A,5,-1,106691,01_entre 100 000 hab et 200 000 hab
Mulhouse,68224,VILLE,44 - Grand Est,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Mulhousedepuisrebberg.jpg/2560px-Mulhousedepuisrebberg.jpg,Avenue de Colmar,Mulhouse,Pont de Bourtzwiller,Mulhouse,Rue de Soultz,Mulhouse,Rue de Guebwiller,Kingersheim,Sentier de l'Ill,Mulhouse,37.2,27.7,28.03,31.6,15.06,16.42,7.3,9.90,8.48,8.72,7.59,9.67,877.13,1219.30,7.94717767509287,14.1325541360877,C,2,B,4,-2,110370,01_entre 100 000 hab et 200 000 hab
Nantes Métropole,244400404,METRO,52 - Pays de la Loire,09/21/2021,12/20/2021,Nantes,https://upload.wikimedia.org/wikipedia/commons/0/04/La_galerie_des_machines_%28île_de_Nantes%29_%287162972497%29.jpg,Quai de la Fosse,Nantes,Boulevard Jean Monnet,Nantes,Pont Général Audibert,Nantes,Cours des Cinquante Otages,Nantes,Cours Olivier de Clisson,Nantes,32.4,32.1,19.34,23.6,15.81,16.02,5.21,6.18,6.67,9.25,5.42,6.75,27349.25,25628.17,41.6734600586644,53.9814102319912,B,4,A,5,-1,656275,03_Plus de 500 000 hab
Nîmes,30189,VILLE,76 - Occitanie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/6/6b/233_Ar_nes_NIM_1012.jpg,Avenue du Général Leclerc,Nîmes,Avenue Pierre Mendes France,Nîmes,Avenue de la Méditerranée,Nîmes,Boulevard Natoire,Nîmes,Avenue de la Liberté,Nîmes,33.6,40.4510792834512,29.39,34.2,16.84,15.45,8.01,8.36,12.22,17.06,8.76,9.70,495.14,424.98,paris,7.45055484761601,E,1,D,2,-1,150672,01_entre 100 000 hab et 200 000 hab
Nîmes Métropole,243000643,CA,76 - Occitanie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Arenes_de_Nimes_%2819%29.jpg/1600px-Arenes_de_Nimes_%2819%29.jpg,Via Rhôna,Saint-Gilles,Route des Iscles,Saint-Gilles,Avenue du Général Leclerc,Nîmes,Avenue Pierre Mendes France,Nîmes,Route de Bellegarde,Redessan,33.6,36.1624464403604,44.53,54.1,16.84,16.35,11.18,13.32,17.73,26.19,12.76,15.65,1145.1,1268.78,4.43859574319636,14.8748967971254,D,1,E,1,0,257987,02_Entre 200 000 hab et 500 000 hab
Région Occitanie,200053791,REGION,76 - Occitanie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Barrou_Neighbourhood%2C_%C3%89tang_de_Thau%2C_S%C3%A8te_01.jpg/1152px-Barrou_Neighbourhood%2C_%C3%89tang_de_Thau%2C_S%C3%A8te_01.jpg,"Via Tolosana, Castres - Toulouse",Toulouse,Boulevard de la Marne,Toulouse,Avenue du Professeur Grasset,Montpellier,Place Marcel Godechot,Montpellier,Allée des Soupirs,Toulouse,34.8,34.8,26.15,30.3,15.47,15.65,6.53,7.50,9.51,11.53,7.08,8.31,51155,50535.17,8.63521269412559,14.160167116813,B,2,B,4,,5924000,03_Plus de 500 000 hab
Orléans Métropole,244500468,METRO,24 - Centre-Val de Loire,09/21/2021,12/20/2021,Orléans,https://upload.wikimedia.org/wikipedia/commons/2/2e/La_place_Jeanne_D%27Arc%2C_Orléans.jpg,Avenue de l'Hôpital,Orléans,Avenue du Président John Kennedy,Orléans,Rue de Condorcet,Orléans,Rue Romain Rolland,Orléans,Rue de Bourges,Olivet,36.6,32.7854277881015,26.13,30.0,15.57,15.87,6.94,7.75,9.38,10.90,7.4,8.43,5083.97,8992.90,44.3457136875894,75.3311119639929,A,3,B,4,-1,114644,02_Entre 200 000 hab et 500 000 hab
Paris,75056,VILLE,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Pont_des_Arts%2C_Paris.jpg/2880px-Pont_des_Arts%2C_Paris.jpg,Boulevard de Sébastopol,Paris,Place de la Bastille,Paris,Rue de Rivoli,Paris,Place de la Concorde,Paris,Boulevard Beaumarchais,Paris,53.4,50.2109442664612,25.56,26.6,13.93,14.21,6.32,6.56,5.88,6.65,6.24,6.58,226345.38,120528.08,104.741036557149,100.627135585377,A,5,A,5,0,2161000,03_Plus de 500 000 hab
Paris Ouest La Défense,200057982,EPT,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/La_D%C3%A9fense_vue_depuis_la_Tour_Eiffel.png/1280px-La_D%C3%A9fense_vue_depuis_la_Tour_Eiffel.png,Vélopolitain 1 (Défense - Vincennes),Neuilly-sur-Seine,Avenue Charles de Gaulle,Neuilly-sur-Seine,Boulevard de Neuilly,Courbevoie,Pont de Suresnes,Suresnes,Boulevard Henri Sellier,Suresnes,44.4,41.4446671695307,33.67,35.6,15.01,15.18,8.72,9.00,9.82,10.76,8.86,9.31,58182.23,31693.88,103.483275765779,94.4086312202306,A,4,A,5,-1,562238,03_Plus de 500 000 hab
Pau,64445,VILLE,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Pont_du_XIV-Juillet.jpg,Rue Jean-Jacques de Monaix,Pau,Cours Lyautey,Pau,Place Gramont,Pau,Rue Carnot,Pau,Rue d'Étigny,Pau,37.2,38.5,18.95,27.6,15.76,16.03,4.4,7.18,8.48,9.84,5.15,7.80,937.95,1189.58,12.1472511817652,30.6796606876902,C,2,B,4,-2,77215,00_Moins de 100 000 hab
Perpignan,66136,VILLE,76 - Occitanie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Perpignanrivierebasse.jpg,Avenue Julien Panchot,Perpignan,Voie Verte de Perpignan à Thuir,Perpignan,Chemin de la Basse,Toulouges,Avenue Docteur Jean-Louis Torreilles,Perpignan,Rue Jean Vielledent,Perpignan,27.6,29.974321713235,28.3,26.8,16.24,16.57,5.73,7.32,21.6,9.23,8.3,7.63,743.23,715.69,6.09534666294881,10.0353469909951,E,2,C,3,-1,121934,01_entre 100 000 hab et 200 000 hab
Perpignan Méditerranée Métropole,200027183,METRO,76 - Occitanie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Perpignan_panorama_le_quai_Sadi_Carnot_et_le_quai_Vauban_le_long_de_la_rivi%C3%A8re_la_Basse.jpg/1280px-Perpignan_panorama_le_quai_Sadi_Carnot_et_le_quai_Vauban_le_long_de_la_rivi%C3%A8re_la_Basse.jpg,Avenue Julien Panchot,Perpignan,Voie Verte de Perpignan à Thuir,Perpignan,Avenue Docteur Jean-Louis Torreilles,Perpignan,Rue Jean Vielledent,Perpignan,Rue François de Fossa,Perpignan,28.2,34.3470623245351,32.45,30.9,15.73,15.61,6.84,7.97,15.12,8.85,8.96,8.15,1349.19,1279.05,5.02594572445007,10.9724897092514,D,2,C,3,-1,268445,02_Entre 200 000 hab et 500 000 hab
Plaine Commune,200057867,EPT,11 - Île-de-France,09/21/2021,12/20/2021,,https://fr.wikipedia.org/wiki/%C3%89tablissement_public_territorial_Plaine_Commune#/media/Fichier:La_Plaine_Saint-Denis.jpg,Quai François Mitterrand,Aubervilliers,Quai Gambetta,Aubervilliers,Quai de l'Allier,Paris,Quai Jean-Marie Tjibaou,Aubervilliers,Quai du Canal Saint-Denis,Aubervilliers,42,40.4499985843504,32.86,34.0,14.96,15.12,8.6,8.56,8.16,10.60,8.53,8.91,22959.54,12181.11,52.7429647837174,50.1585077301234,B,4,A,5,-1,435310,02_Entre 200 000 hab et 500 000 hab
Rennes,35238,VILLE,53 - Bretagne,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Vue_sud-est_de_la_place_du_parlement_de_Bretagne%2C_Rennes%2C_France.jpg/2560px-Vue_sud-est_de_la_place_du_parlement_de_Bretagne%2C_Rennes%2C_France.jpg,Quai Duguay Trouin,Rennes,Quai Lamennais,Rennes,Pont de la Mission,Rennes,Quai Lamartine,Rennes,Quai Chateaubriand,Rennes,38.4,36.7604721758515,19.83,24.3,15.2,15.59,5.09,6.74,7.77,8.72,5.44,7.04,8730.88,8966.91,40.5397323625828,48.9972883370634,A,5,A,5,0,215366,02_Entre 200 000 hab et 500 000 hab
Rennes Métropole,243500139,METRO,53 - Bretagne,09/21/2021,12/20/2021,Rennes,https://upload.wikimedia.org/wikipedia/commons/e/e3/Marché_des_Lices.jpg,Quai Duguay Trouin,Rennes,Quai Lamennais,Rennes,Pont de la Mission,Rennes,Quai Lamartine,Rennes,Quai Chateaubriand,Rennes,36.6,35.5,20.75,26.2,15.37,15.82,5.27,7.21,8.28,10.04,5.74,7.73,10627.59,12081.22,23.5247541847256,30.6781668223534,B,4,A,5,-1,451762,02_Entre 200 000 hab et 500 000 hab
Saint-Brieuc Armor Agglomération,200069409,CA,53 - Bretagne,09/21/2021,12/20/2021,Saint-Brieuc,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/L%27H%C3%B4tel_de_Bellescize_%28xviie%29_%282%29.JPG/1087px-L%27H%C3%B4tel_de_Bellescize_%28xviie%29_%282%29.JPG,Boulevard de l'Atlantique,Saint-Brieuc,Rue Ernest Renan,Pordic,Rue de la Cuve,Pordic,Rue Odio Baschamps,Pordic,Rue de la Fosse-Argent,Pordic,36.6,37.7,34,35.8,14.63,15.17,7.5,8.11,10.03,14.47,8.25,9.73,593.84,820.27,3.90846205993274,12.4276509342688,E,1,D,2,-1,151937,01_entre 100 000 hab et 200 000 hab
Sceaux,219200714,VILLE,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Le_musée_du_Domaine_départemental_de_Sceaux_en_Ile-de-France_-_Flickr_-_dalbera.jpg,La Coulée Verte,Sceaux,Avenue Paul Langevin,Fontenay-aux-Roses,Avenue du Général Leclerc,Bourg-la-Reine,Boulevard du Maréchal Joffre,Bourg-la-Reine,Avenue Raymond Aron,Antony,34.2,32.7152770520059,44.26,43.7,15.9,15.74,11.98,11.70,12.16,11.57,12.01,11.67,11070.09,8386.22,571.949883750969,,A,3,0,,,19355,00_Moins de 100 000 hab
Seine-Saint-Denis,229300082,DEPARTEMENT,11 - Île-de-France,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/9/96/Saint_Denis_Canal_Saint_Denis.jpg,Boulevard Chanzy,Montreuil,Chemin de Halage,Bobigny,RER-V B2,Pantin,Quai de l'Ourcq,Pantin,Chemin Latéral au Chemin de Fer,Pantin,43.2,41.8190631278624,30.02,31.5,14.76,14.96,7.76,7.96,7.75,9.24,7.76,8.22,62265.37,35034.13,37.6453264812576,38.300169286578,B,4,A,5,-1,1654000,03_Plus de 500 000 hab
