area,Code SIREN / postal,Type de territoire,Région,AUT-Date de début,AUT- Date de fin,Ville centre de référence,Image,classement_1,city_1,classement_2,city_2,classement_3,city_3,classement_4,city_4,classement_5,city_5,arrêt_prec,arrêt,durée_prec,durée,vitesse_prec,vitesse,distance_semaine_prec,distance_semaine,distance_weekend_prec,distance_weekend,distance_prec,distance,co2_prec,co2,co2_1000_hab,co2_1000_hab_prec,Taux de confiance,Colonne1,EST - Indice de confiance ,Colonne2,EVOLUTION (RANG) ,Habitants,Classe d'habitants
Caen,14118,VILLE,28 - Normandie,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Mairie_de_Caen_7.JPG/2560px-Mairie_de_Caen_7.JPG,"La Vélo Francette, Caen / Thury-Harcourt / Le Hom",Caen,Avenue de Tourville,Caen,Cours Koenig,Caen,Boulevard Jean Moulin,Caen,Cours du Général de Gaulle,Caen,34.8,33.4,21.67,29.2,15.9,16.61,5.88,8.39,7.8,13.37,6.16,9.25,3702.76,4300.31,34.8462262375306,42.9970826275174,B,4,B,4,0,106260,01_entre 100 000 hab et 200 000 hab
Région Centre-Val de Loire,234500023,REGION,24 - Centre-Val de Loire,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/La_Loire_%C3%A0_Orl%C3%A9ans.jpg/1280px-La_Loire_%C3%A0_Orl%C3%A9ans.jpg,Rue de Bourges,Olivet,Avenue du Président John Kennedy,Orléans,Loire à Vélo 7,Saint-Jean-le-Blanc,Avenue Gaston Galloux,Saint-Cyr-en-Val,Chemin du Bouchet,Orléans,37.2,36.3,28.46,33.8,15.4,15.45,6.78,8.10,10.91,12.65,7.68,9.20,18822.88,30578.29,7.33263731982859,17.5280093494351,B,2,C,3,-1,2567000,03_Plus de 500 000 hab
Clermont-Ferrand,63113,VILLE,84 - Auvergne-Rhône-Alpes,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/4/47/Vue_du_centre_de_Clermont-Ferrand.jpg,Boulevard Côte-Blatin,Clermont-Ferrand,Rue Montlosier,Clermont-Ferrand,Boulevard François Mitterrand,Clermont-Ferrand,Place Delille,Clermont-Ferrand,Place des Carmes Déchaux,Clermont-Ferrand,40.2,49.9,18.99,18.6,15.78,14.55,5.25,4.87,6.52,6.99,5.43,5.30,841.1,728.69,5.94845754536839,11.6619754169083,E,3,B,4,-1,141398,01_entre 100 000 hab et 200 000 hab
Communauté d'agglomération Amiens Métropole,248000531,CA,32 - Hauts-de-France,09/21/2021,12/20/2021,Amiens,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Amiens_France_Quai-Belu-03.jpg/2560px-Amiens_France_Quai-Belu-03.jpg,Rue Jules Barni,Amiens,Boulevard d'Alsace-Lorraine,Amiens,Boulevard de Beauvillé,Amiens,Rue du Professeur Christian Cabrol,Pont-de-Metz,Rond-Point du Professeur Christian Cabrol,Pont-de-Metz,49.2,41.4,13.44,25.6,14.16,15.21,2.9,6.01,5.27,13.30,3.23,7.17,799,2655.85,4.41668278930931,15.6348912412592,C,3,C,3,0,180905,01_entre 100 000 hab et 200 000 hab
Communauté d'agglomération Béziers Méditerranée,243400769,CA,76 - Occitanie,09/21/2021,12/20/2021,Béziers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Pont_Vieux_et_Cathédrale_Saint-Nazaire_de_Béziers_cf02.jpg/2560px-Pont_Vieux_et_Cathédrale_Saint-Nazaire_de_Béziers_cf02.jpg,Rue du Canal,Villeneuve-lès-Béziers,Voie verte Canal du Midi de Béziers à Portiragnes-Plage,Villeneuve-lès-Béziers,Avenue Joseph Lazare,Béziers,Avenue Pierre Brousse,Béziers,Boulevard Pasteur,Villeneuve-lès-Béziers,29.4,38.1,51.47,48.3,15.94,14.61,13.1,11.73,15.02,12.84,13.74,12.02,978.6,693.64,7.7884248058067,17.6610849356934,E,1,E,1,0,125648,01_entre 100 000 hab et 200 000 hab
Communauté d'agglomération Chartres Métropole,200033181,CA,24 - Centre-Val de Loire,09/21/2021,12/20/2021,Chartres,https://upload.wikimedia.org/wikipedia/commons/1/11/Chartres%2C_Cathédrale_Notre-Dame-F_149.jpg,Rue Danièle Casanova,Chartres,Boulevard Maurice Viollette,Chartres,Route Départementale 923,Chartres,Place des Épars,Chartres,Rue du Docteur Maunoury,Chartres,46.2,39.3035501248561,22.24,26.6,13.75,14.97,4.85,6.23,8.42,11.94,5.57,7.33,826.36,2949.54,6.06533913668959,17.4143992718892,B,3,B,4,-1,136243,01_entre 100 000 hab et 200 000 hab
"Communauté d'agglomération de Blois ""Agglopolys""",200030385,CA,24 - Centre-Val de Loire,09/21/2021,12/20/2021,Blois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Blois_Loire_Panorama_-_July_2011.jpg/2560px-Blois_Loire_Panorama_-_July_2011.jpg,Pont Jacques Gabriel,Blois,Rue Denis Papin,Blois,Loire à Vélo 5g - via Chambord,Vineuil,Loire à Vélo 5,Chailles,Chemin des Gros Noirs,Blois,37.8,40.5809358725779,43.55,51.7,15.14,14.55,8.52,11.31,16.57,15.70,11.38,12.75,1258.82,2151.03,11.9561955055753,42.5897080333568,C,2,C,3,-1,105286,01_entre 100 000 hab et 200 000 hab
Communauté d'agglomération de Cergy-Pontoise,249500109,CA,11 - Île-de-France,09/21/2021,12/20/2021,Cergy-Pontoise,https://upload.wikimedia.org/wikipedia/commons/3/38/Cergy_Grand_Centre_Parc_Fran%C3%A7ois_Mitterrand%C2%A9L_Pages.jpg,Boulevard Charles de Gaulle,Éragny,Rue de l'Hôtel Dieu,Pontoise,Boulevard de l'Oise,Pontoise,Quai du Pothuis,Pontoise,Place du Pont,Pontoise,38.4,35.5771595702775,31.16,49.0,14.88,15.08,6.4,9.71,16.56,19.57,8.26,13.03,2405.16,2513.91,11.3988625592417,21.0316587677725,B,3,B,4,-1,211000,02_Entre 200 000 hab et 500 000 hab
Communauté d'agglomération de la Région Nazairienne et de l'Estuaire,244400644,CA,52 - Pays de la Loire,09/21/2021,12/20/2021,Saint-Nazaire,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/St-Nazaire-pont2.jpg/1920px-St-Nazaire-pont2.jpg,Boulevard des Océanides,Pornichet,Chemin de Porcé,Saint-Nazaire,Littoral_St-Nazaire_Pornichet,Saint-Nazaire,Rond-Point de l'Europe,Pornichet,Avenue de Saint-Nazaire,Saint-Nazaire,28.8,30.1,28.74,41.7,16.54,16.44,6.79,10.22,13.04,12.99,8.15,11.06,1214.24,1945.89,9.6457821945775,20.0507614213198,B,2,B,4,-2,125883,01_entre 100 000 hab et 200 000 hab
Communauté d'agglomération de La Rochelle,241700434,CA,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,La Rochelle,https://upload.wikimedia.org/wikipedia/commons/9/91/Entrance_La_Rochelle_old_harbor.jpg,Quai Duperré,La Rochelle,Quai Valin,La Rochelle,Avenue du Général Leclerc,La Rochelle,"La Vélo Francette, Marans / La Rochelle",Périgny,Place de Verdun,La Rochelle,30.6,32.4,20.73,26.8,15.41,15.23,5.01,6.32,7.28,10.51,5.54,7.33,3427.98,5633.10,19.9520403233786,47.2040206971614,B,4,A,5,-1,171811,01_entre 100 000 hab et 200 000 hab
